SEASON,#,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1981-1982,155,Chris Ford,76,20.9,5.7,2.5,5.9,41.8,0.3,0.8,31.7,0.5,0.7,69.6,0.7,0.7,1.4,1.9,0.6,0.1,0.7,5.3
1981-1982,156,Rick Robey,80,14.8,5.7,2.3,4.7,49.3,0,0,0,1.1,2,53.5,1.4,2.3,3.7,0.9,0.3,0.2,1.2,6.3
1981-1982,157,Mike Gale,75,23.9,5.6,2.5,5,49.6,0,0.1,0,0.7,0.9,78.5,0.5,2,2.5,3.5,1.6,0.4,1.7,9.2
1981-1982,158,James Hardy,82,22.1,5.1,2.2,4.5,48.5,0,0,0,0.8,1.1,68.8,1.9,3.9,5.7,1.3,0.7,0.8,1,10.1
1981-1982,159,Jeff Cook,76,17.1,5.1,2,4.7,42.2,0,0,0,1.2,1.8,66.4,1.5,2.5,4,1.3,0.5,0.3,1.1,6.8
1981-1982,160,Peter Verhoeven,71,17,4.9,2.1,4.2,50.3,0,0,0,0.7,1,70.8,1.5,2.1,3.6,0.7,0.6,0.3,0.8,7
1981-1982,161,Danny Vranes,77,14,4.9,1.9,3.4,54.6,0,0,0,1.2,1.9,60.1,0.9,1.6,2.6,0.7,0.4,0.3,0.9,5.6
1981-1982,162,George McGinnis,76,17.6,4.7,1.9,5,37.3,0,0,0,0.9,2.1,45.3,1.2,4,5.2,2.7,1.3,0.4,1.7,8.2
1981-1982,163,Clint Richardson,77,13.5,4.6,1.8,4,45.2,0,0,100,0.9,1.1,78.4,0.7,0.8,1.5,1.4,0.5,0.1,1,4.6
1981-1982,164,Alton Lister,80,14.8,4.5,1.9,3.6,51.9,0,0,0,0.8,1.5,52,1.4,3.5,4.8,1.1,0.2,1.5,1.6,8
1981-1982,165,Mark Landsberger,75,15.1,4.3,1.9,4.4,43.8,0,0,0,0.4,0.9,50.8,2.2,3.2,5.3,0.4,0.1,0.1,0.7,6.7
1981-1982,166,Reggie Carter,75,12.3,4,1.6,3.7,42.5,0,0,0,0.9,1.1,80,0.5,0.8,1.3,1.7,0.5,0.1,1,4.2
1981-1982,167,Sonny Parker,71,12.7,3.9,1.6,3.5,47.3,0,0,0,0.7,1,66.7,1,1.5,2.5,1.3,0.5,0.1,0.7,5.5
1981-1982,168,Scott Lloyd,74,14.1,3.9,1.5,3.9,37.9,0,0.1,50,0.9,1.2,75.8,0.8,1.4,2.2,0.9,0.2,0.1,0.8,3.8
1981-1982,169,John Duren,79,13.4,3.4,1.5,3.4,45.1,0,0.1,27.3,0.3,0.5,73,0.2,0.9,1.1,2,0.3,0.1,0.9,3.9
1981-1982,170,Ron Lee,81,18.1,3.4,1.1,3,35.8,0.2,0.7,30.5,1,1.5,70.6,0.4,1.5,1.9,3.9,1.4,0.2,1.5,7
1981-1982,171,Coby Dietrick,74,13.5,3,1.2,2.7,46,0,0,0,0.5,0.7,70.4,0.9,1.7,2.5,1.2,0.7,0.4,0.6,5.5
1981-1982,171,George Johnson,75,21,3,1.2,2.6,46.7,0,0,0,0.6,0.9,67.2,2,4,6.1,1.1,0.3,3.1,1.2,10.6
1981-1982,173,Jim Smith,72,11.9,2.9,1.2,2.3,50.9,0,0,0,0.5,1.2,45.9,1,1.5,2.5,0.6,0.3,0.7,0.7,4.7
1981-1982,174,Harvey Catchings,80,20,2.9,1.2,2.8,42,0,0,0,0.5,0.9,59.4,1.6,2.8,4.5,1.2,0.5,1.7,1.2,7.6
1981-1982,175,Jim Brewer,71,13.6,2.4,1.1,2.5,46.3,0,0.1,16.7,0.1,0.3,36.8,1.5,2.2,3.7,0.6,0.5,0.6,0.5,5.9
